event,name,dob,country,time,score,date
70,men's 1500m,Abdellah ABDELHAQ,1968-08-13,MAR,217.66,1138,2001-08-26
71,men's 1500m,Youcef ABDI,1977-12-07,AUS,217.81,1136,2001-08-23
72,men's 1500m,Leszek ZBLEWSKI,1973-12-25,POL,217.83,1136,2001-06-17
73,men's 1500m,Daniel GACHARA,1972-12-19,KEN,217.99,1134,2001-07-07
74,men's 1500m,Hamid EL MOUAZIZ,1979-02-17,MAR,218.04001,1133,2001-06-09
75,men's 1500m,Ibrahim Mohamed ADEN,1972-11-11,USA,218.19,1131,2001-08-18
76,men's 1500m,Shadrack LANGAT,1978-07-22,KEN,218.2,1131,2001-07-14
77,men's 1500m,Daniel ZEGEYE,1979-03-13,ETH,218.25,1130,2001-08-17
78,men's 1500m,Alan WEBB,1983-01-13,USA,218.26,1130,2001-05-27
79,men's 1500m,Gareth TURNBULL,1979-05-14,IRL,218.28,1130,2001-05-20
80,men's 1500m,Thomas MAYO,1977-05-02,GBR,218.34,1129,2001-08-19
81,men's 1500m,Samuli VASALA,1976-11-29,FIN,218.39,1128,2001-08-19
82,men's 1500m,Martin KEINO,1972-06-20,KEN,218.4,1128,2001-07-17
83,men's 1500m,Isaac VICIOSA,1969-12-26,ESP,218.4,1128,2001-08-18
84,men's 1500m,Abdelkader CHÉKHÉMANI,1971-07-18,FRA,218.45999,1127,2001-07-06
85,men's 1500m,Lorenzo PERRONE,1981-09-26,ITA,218.52,1126,2001-07-01
86,men's 1500m,Clay SCHWABE,1979-07-03,USA,218.53,1126,2001-06-23
87,men's 1500m,Franek HASCHKE,1980-03-28,GER,218.56,1126,2001-07-01
88,men's 1500m,Raymond Kipkorir YATOR,1981-04-07,KEN,218.62,1125,2001-05-27
89,men's 1500m,Darko RADOMIROVIĆ,1977-08-05,YUG,218.7,1124,2001-08-30
90,men's 1500m,David KIMANI,1977-02-20,KEN,218.74,1123,2001-06-02
91,men's 1500m,Ferdinando VICARI,1973-09-26,ITA,218.74,1123,2001-09-02
92,men's 1500m,Ralf ASSMUS,1977-01-28,GER,218.78,1123,2001-06-13
93,men's 1500m,Mohammed MOURHIT,1970-10-10,BEL,218.8,1123,2001-07-14
94,men's 1500m,Brian TREACY,1971-07-29,IRL,218.83,1122,2001-07-07
95,men's 1500m,Benoit NICOLAS,1977-04-17,FRA,218.84,1122,2001-08-23
96,men's 1500m,Panayotis STROUBAKOS,1972-09-08,GRE,218.86,1122,2001-06-11
97,men's 1500m,Rüdiger STENZEL,1968-04-16,GER,218.87,1122,2001-07-01
98,men's 1500m,Paul Kipsiele KOECH,1981-11-10,KEN,218.87,1122,2001-08-26
99,men's 1500m,Michael EAST,1978-01-20,GBR,218.94,1121,2001-07-04
--------2001------------
--------:avg top 100:1167.81--avg top percent:1190.5806451612902-------
-------------------------
0,men's 1500m,Hicham EL GUERROUJ,1974-09-14,MAR,206.89,1289,2002-08-16
1,men's 1500m,Bernard LAGAT,1974-12-12,KEN,207.91,1275,2002-07-19
2,men's 1500m,Rui SILVA,1977-08-03,POR,210.07,1244,2002-07-19
3,men's 1500m,Cornelius CHIRCHIR,1983-06-05,KEN,210.24,1241,2002-07-19
4,men's 1500m,William CHIRCHIR,1979-02-06,KEN,210.88,1232,2002-07-19
5,men's 1500m,Robert RONO,1978-08-16,KEN,210.99,1231,2002-08-30
6,men's 1500m,Driss MAAZOUZI,1969-10-15,FRA,211.45,1224,2002-07-19
7,men's 1500m,David KRUMMENACKER,1975-05-24,USA,211.93,1217,2002-07-16
8,men's 1500m,Mehdi BAALA,1978-08-17,FRA,212.03,1216,2002-08-30
9,men's 1500m,Vyacheslav SHABUNIN,1969-09-27,RUS,212.37,1211,2002-08-30
10,men's 1500m,Anthony WHITEMAN,1971-11-13,GBR,212.43,1210,2002-07-19
11,men's 1500m,Laban ROTICH,1969-01-20,KEN,212.82,1205,2002-08-30
12,men's 1500m,Reyes ESTÉVEZ,1976-08-02,ESP,212.93,1203,2002-08-30
13,men's 1500m,Alex KIPCHIRCHIR,1984-11-26,KEN,212.95,1203,2002-08-16
14,men's 1500m,Noah NGENY,1978-11-02,KEN,213.02,1202,2002-05-15
15,men's 1500m,Abdelkader HACHLAF,1979-07-03,MAR,213.66,1193,2002-07-19
16,men's 1500m,Juan Carlos HIGUERO,1978-08-03,ESP,213.72,1192,2002-08-30
17,men's 1500m,David KIPLAK,1981-12-27,KEN,213.73,1192,2002-05-15
18,men's 1500m,Fouad CHOUKI,1978-10-01,FRA,213.93,1189,2002-08-30
19,men's 1500m,Hudson SANTOS DE SOUZA,1977-02-25,BRA,214.02,1188,2002-07-19
20,men's 1500m,Michael TOO,1983-08-03,KEN,214.17,1186,2002-05-15
21,men's 1500m,Isaac Kiprono SONGOK,1984-04-25,KEN,214.2,1186,2002-08-16
22,men's 1500m,Bouabdellah TAHRI,1978-12-20,FRA,214.85,1177,2002-07-02
23,men's 1500m,John MAYOCK,1970-10-26,GBR,214.89,1176,2002-09-06
24,men's 1500m,Kevin SULLIVAN,1974-03-20,CAN,214.99,1175,2002-09-08
25,men's 1500m,Tarek BOUKENSA,1981-11-19,ALG,215.08,1173,2002-09-08
26,men's 1500m,Kamal BOULAHFANE,1976-07-01,ALG,215.12,1173,2002-09-06
27,men's 1500m,Daham Najim BASHIR,1979-11-08,QAT,215.47,1168,2002-08-20
28,men's 1500m,Andrew GRAFFIN,1977-12-20,GBR,215.53,1167,2002-09-06
29,men's 1500m,Ali MAATAOUI,1980-12-11,MAR,215.72,1165,2002-07-16
30,men's 1500m,Christian OBRIST,1980-11-20,ITA,215.74,1164,2002-08-16
31,men's 1500m,Stephen CHERONO,1982-10-15,KEN,215.79001,1164,2002-07-08
32,men's 1500m,Japheth KIMUTAI,1978-12-20,KEN,216.1,1159,2002-08-20
33,men's 1500m,Luis Miguel MARTÍN,1972-01-11,ESP,216.11,1159,2002-08-20
34,men's 1500m,Marko KOERS,1972-11-03,NED,216.13,1159,2002-08-30
35,men's 1500m,Peter Kipkorir BIWOTT,1976-08-22,KEN,216.28,1157,2002-06-17
36,men's 1500m,Shadrack KORIR,1978-12-14,KEN,216.32,1156,2002-06-17
37,men's 1500m,Matthieu VANDIEST,1981-02-10,BEL,216.33,1156,2002-08-30
38,men's 1500m,Youssef BABA,1979-08-07,MAR,216.34,1156,2002-05-15
39,men's 1500m,Youcef ABDI,1977-12-07,AUS,216.35,1156,2002-09-08
40,men's 1500m,Berhanu ALEMU,1982-07-16,ETH,216.44,1155,2002-07-08
41,men's 1500m,Henry ROTICH,1981-12-05,KEN,216.45999,1154,2002-08-16
42,men's 1500m,Jesús ESPAÑA,1978-08-21,ESP,216.53,1154,2002-05-15
43,men's 1500m,Bryan BERRYHILL,1977-12-15,USA,216.53,1154,2002-07-16
44,men's 1500m,Pedro Antonio ESTESO,1976-10-13,ESP,216.70999,1151,2002-07-08
45,men's 1500m,José Antonio REDOLAT,1976-02-17,ESP,216.73,1151,2002-07-03
46,men's 1500m,Seneca LASSITER,1977-03-12,USA,216.73,1151,2002-07-05
47,men's 1500m,Franek HASCHKE,1980-03-28,GER,216.99,1147,2002-08-16
48,men's 1500m,Ivan HESHKO,1979-08-19,UKR,217.07,1146,2002-08-18
49,men's 1500m,Salah EL GHAZI,1975-11-02,MAR,217.15,1145,2002-07-16
50,men's 1500m,Benjamin KIPKURUI,1980-12-28,KEN,217.17,1145,2002-07-05
51,men's 1500m,Johan CRONJE,1982-04-13,RSA,217.28,1143,2002-05-15
52,men's 1500m,Craig MOTTRAM,1980-06-18,AUS,217.34,1142,2002-08-16
53,men's 1500m,Michael EAST,1978-01-20,GBR,217.35,1142,2002-07-31
54,men's 1500m,Arnoud OKKEN,1982-04-20,NED,217.45999,1141,2002-06-14
55,men's 1500m,Abdelkader CHÉKHÉMANI,1971-07-18,FRA,217.6,1139,2002-09-11
56,men's 1500m,Panayotis STROUBAKOS,1972-09-08,GRE,217.75,1137,2002-06-01
57,men's 1500m,Gert-Jan LIEFERS,1978-09-26,NED,217.77,1137,2002-06-08
58,men's 1500m,Francisco Javier ALVES,1980-09-03,ESP,217.79001,1136,2002-08-20
59,men's 1500m,Sergio GALLARDO,1979-03-22,ESP,217.86,1135,2002-08-20
60,men's 1500m,Carlos GARCÍA,1975-08-20,ESP,217.91,1135,2002-08-20
61,men's 1500m,Peter PHILIPP,1972-02-18,SUI,218.01,1133,2002-08-16
62,men's 1500m,Graham HOOD,1972-04-02,CAN,218.08,1132,2002-07-31
63,men's 1500m,Saïd CHÉBILI,1973-05-06,FRA,218.16,1131,2002-07-27
64,men's 1500m,Eliud NJUBI,1979-07-27,KEN,218.18,1131,2002-08-13
65,men's 1500m,David Kipkoech KISANG,null,KEN,218.28,1130,2002-05-18
66,men's 1500m,Julius ACHON,1976-12-12,UGA,218.33,1129,2002-07-31
67,men's 1500m,Luis FEITEIRA,1973-04-21,POR,218.37,1128,2002-07-02
68,men's 1500m,Mushir Salim JAWHER,1978-06-13,KEN,218.38,1128,2002-07-20
69,men's 1500m,Sammy MUTAI,1974-12-20,KEN,218.4,1128,2002-07-08
70,men's 1500m,Ibrahim Mohamed ADEN,1972-11-11,USA,218.4,1128,2002-08-20
71,men's 1500m,Nils SCHUMANN,1978-05-20,GER,218.51,1127,2002-06-14
72,men's 1500m,Alberto GARCÍA,1971-02-22,ESP,218.52,1126,2002-07-03
73,men's 1500m,Andrey ZADOROZHNIY,1973-09-03,RUS,218.59,1125,2002-06-30
74,men's 1500m,Yassine BENSGHIR,1983-01-03,MAR,218.61,1125,2002-08-16
75,men's 1500m,Mickaël DAMIAN,1969-11-09,FRA,218.78,1123,2002-06-29
76,men's 1500m,Roberto GARCÍA,1975-08-20,ESP,218.84,1122,2002-07-03
77,men's 1500m,Nadir BOSCH,1973-05-16,FRA,218.85,1122,2002-06-10
78,men's 1500m,Álvaro FERNÁNDEZ CEREZO,1981-04-07,ESP,218.99,1120,2002-08-16
79,men's 1500m,Jamal Yousuf NOOR,1982-08-13,QAT,219.01,1120,2002-07-27
80,men's 1500m,Mohamed KHALDI,1975-03-05,ALG,219.12,1118,2002-07-03
81,men's 1500m,Rubén VILLARROYA,1976-10-30,ESP,219.15,1118,2002-08-20
82,men's 1500m,Philemon TANUI,1982-11-20,KEN,219.16,1118,2002-08-20
83,men's 1500m,Paul KORIR,1977-07-15,KEN,219.18,1117,2002-02-23
84,men's 1500m,Jürgen VANDEWIELE,1974-05-10,BEL,219.23,1117,2002-07-20
85,men's 1500m,Manuel DAMIAO,1978-07-19,POR,219.24,1117,2002-07-03
